Bin Index,Frequency
8,8368
4,17691
3,130330
2,177133
42,623
7,9547
19,2539
21,2155
5,13038
9,7642
6,11381
11,5676
67,204
147,21
13,4510
10,6532
15,3715
115,54
16,3310
22,1995
18,2782
29,1300
26,1516
51,367
14,3951
31,1153
53,380
12,5936
121,36
490,2
284,8
76,134
100,58
78,121
116,46
54,329
114,41
77,125
57,305
41,609
17,3027
27,1421
38,760
36,870
25,1578
28,1393
23,1817
69,174
58,285
30,1210
49,429
20,2277
165,19
177,17
212,10
99,57
108,46
63,237
127,34
120,30
118,34
101,68
104,36
59,315
44,524
47,497
71,164
35,900
82,121
85,111
107,46
50,425
24,1605
37,758
39,733
33,951
46,501
34,929
65,225
203,7
223,10
211,9
149,24
89,84
160,20
152,12
102,48
32,1090
190,16
276,12
236,9
155,17
130,35
91,75
202,13
162,21
184,17
135,23
144,27
153,17
106,44
96,57
73,139
215,12
113,40
95,59
83,104
64,216
220,13
314,5
251,6
87,97
278,3
224,8
269,4
197,12
172,22
66,186
72,178
40,644
60,244
43,635
110,54
48,480
156,29
126,22
196,13
123,36
143,20
52,395
45,555
229,7
348,3
287,13
195,9
182,13
98,62
249,7
216,7
244,10
138,29
180,17
90,78
75,120
277,7
390,4
328,4
199,13
210,11
171,12
260,9
222,12
179,15
70,161
88,84
589,3
816,1
666,1
474,3
429,5
292,7
562,2
509,2
606,3
373,5
402,2
407,4
132,28
158,20
151,20
105,49
1255,1
1743,1
1484,2
983,1
969,2
654,1
1210,1
1015,1
1371,1
859,2
972,1
137,26
146,21
62,203
79,97
93,76
319,6
264,8
166,22
206,11
168,14
131,36
1,116
2606,1
645,1
990,1
888,1
532,2
312,3
641,2
631,2
575,3
414,3
545,1
608,1
74,127
86,93
84,82
55,319
167,15
259,6
218,9
103,56
188,17
159,15
183,16
2977,1
2506,1
2545,1
1532,1
2375,1
1939,1
1957,1
2412,1
522,1
386,6
293,7
129,33
555,1
483,4
567,3
289,4
356,4
317,7
56,289
68,204
2599,1
2018,1
2127,1
1351,1
2547,1
1985,1
2538,1
1603,2
1718,1
1808,1
178,10
173,16
112,52
136,16
109,55
80,97
125,38
157,21
241,5
154,25
133,16
111,39
81,95
124,28
94,81
254,10
233,5
148,19
181,15
185,14
161,15
198,12
446,1
364,3
281,7
242,9
262,8
248,6
257,10
310,4
213,11
163,13
192,10
139,13
189,10
150,17
227,6
186,16
145,24
97,64
122,44
279,8
435,2
285,2
235,9
417,4
377,5
451,4
265,11
61,231
326,2
398,3
347,2
234,5
332,4
313,4
367,1
238,3
2037,3
2754,1
1934,1
1779,1
1116,1
2017,1
1717,1
2035,1
1203,1
1481,1
1504,1
140,31
193,15
245,7
1238,1
1584,1
1281,1
1010,1
942,1
573,2
847,1
775,2
881,1
595,2
678,3
842,1
1478,1
1729,1
1669,1
1375,1
